"Code","Date","pH","T (°C)","Cond (µS/cm)","SiO2 (μmol/L)","K (μmol/L)","Mg (μmol/L)","Ca (μmol/L)","Na (μmol/L)","Cl (μmol/L)","HCO3 (μmol/L)","SO4 (μmol/L)"
12016,"1998-06-17",,,,,,,,,200,,
12016,"1998-09-16",,,,,,,,,202,,
12016,"1998-12-17",,,,,,,,,185.9,,
12016,"1999-03-16",,,,,,,,,204.8,,
12016,"1999-06-21",,,,,,,,,216.3,,
12016,"1999-09-14",,,,,,,,,174.6,,
12016,"1999-12-08",,,,,,,,,157.7,,
12016,"2001-04-05",,,,,,,,,188.7,,
12016,"2001-06-27",,,,428.3,71.8,270.8,430,865.2,157.7,1729.5,33.3
12016,"2001-07-04",,,,,,,,,123.9,,
12016,"2001-09-12",,,,488.3,43.6,171.2,400.8,756.5,188.7,1750,41.7
12016,"2002-01-09",,,,,,,,,219.7,,
12016,"2002-04-10",,,,,,,,,157.7,,
12016,"2002-04-16",,,,,38.5,,,765.2,157.7,,65.6
12016,"2002-07-02",,,,,,,,,157.7,,
12016,"2002-10-14",,,,,32.6,,,702.2,108.7,,37.6
12016,"2003-01-08",,,,,,,,,156.6,,
12016,"2003-04-16",,,,,37.7,,,690.9,119.7,,33.4
12016,"2003-07-09",,,,,,,,,162.8,,
12016,"2003-10-08",,,,,26.9,,,613.5,131.3,,32.3
12016,"2004-04-07",,,,,36.4,,,705.2,75.5,,24.9
12016,"2004-07-27",,,,,,,,,112.7,,
12016,"2004-10-05",,,,,33.1,,,689.6,101.4,,26.4
12016,"2005-01-11",,,,,,,,,122,,
12016,"2005-03-29",,,,,33.3,,,706.5,76.9,,23.5
12016,"2005-06-22",,,,,,,,,266.2,,
12016,"2005-10-25",,,,,29.7,,,719.6,92.7,,21.1
12016,"2006-01-17",,,,,,,,,111.8,,
12016,"2006-03-21",,,,,48.7,,,652.2,90.1,,21.9
12016,"2006-06-13",,,,,33.3,,,652.2,78.9,,24
12016,"2006-09-25",,,,337.0,30.8,220.8,350,608.7,98.6,,22.9
12016,"2006-12-11",,,,376.7,30.8,216.7,350,608.7,101.4,,
12016,"2007-03-26",,,,350.0,30.8,191.7,325,608.7,81.7,,
12016,"2007-06-18",,,,276.7,30.8,225,350,652.2,90.1,,
12016,"2007-09-03",,,,293.3,30.8,229.2,375,652.2,90.1,,
12016,"2007-11-19",,,,648.3,30.8,220.8,350,652.2,98.6,,24
12016,"2007-11-26",,,,,,,,,98.6,,
12016,"2008-03-17",,,,,,,,,,,
12016,"2008-03-18",,,,461.7,32.1,207.9,338.8,668.7,80.3,1588,23.3
12016,"2008-06-02",,,,420.0,34.1,215.4,356.5,669.1,87,1710,22.9
12016,"2008-08-18",,,,,,,,,,,
12016,"2008-08-19",,,,426.7,30.3,214.2,348.5,636.1,99.4,1678,21.4
12016,"2008-11-24",,,,,,,,,,,
12016,"2008-11-25",,,,513.3,31,225.8,364,656.5,73.5,1674,
12016,"2009-03-02",,,,,,,,,,,
12016,"2009-03-03",,,,445.8,33.3,213.8,348.2,674.3,83.1,1624,22.3
12016,"2009-06-08",,,,,,,,,,,
12016,"2009-06-09",,,,431.7,37.4,226.7,355,699.6,78.9,1734,22.7
12016,"2009-09-01",,,,465.8,28.7,232.1,370.2,664.3,77.2,1698,23.3
12016,"2009-11-30",,,,,,,,,,,
12016,"2009-12-01",,,,417.3,30.3,222.1,354.2,687,95.2,1694,22.9
12016,"2010-03-01",,,,,,,,,,,
12016,"2010-03-02",,,,459.3,36.2,217.1,342.5,697,91.5,1660,20.9
12016,"2010-06-14",,,,,,,,,,,
12016,"2010-06-15",,,,451.7,37.4,217.5,352.8,692.6,80.6,1756,20.8
12016,"2010-08-30",,,,,,,,,,,
12016,"2010-08-31",,,,420.0,32.6,200,323.5,628.3,86.2,1540,
12016,"2010-11-22",,,,,,,,,,,
12016,"2010-11-23",,,,448.3,33.6,210,349.5,650.4,96.3,1578,
12016,"2011-02-14",,,,,,,,,,,
12016,"2011-02-15",,,,431.7,32.6,202.9,345,634.3,83.7,1524,
12016,"2011-05-16",,,,,,,,,,,
12016,"2011-05-17",,,,324.5,32.6,214.6,355.2,676.1,85.4,1622,
12016,"2011-08-22",,,,,,,,,112.7,,
12016,"2011-08-23",,,,360.0,35.9,229.2,375,652.2,,1660,20.8
12016,"2011-11-21",,,,,,,,,,,
12016,"2011-11-22",,,,429.5,35.9,183.3,400,695.7,95.8,1720,20.8
12016,"2012-02-20",,,,,,,,,,,
12016,"2012-02-21",,,,396.7,38.5,241.7,375,695.7,104.2,1760,24
12016,"2012-05-21",,,,,,,,,,,
12016,"2012-05-22",,,,448.0,33.3,229.2,400,652.2,78.9,1700,
12016,"2012-08-20",,,,,,,,,,,
12016,"2012-08-21",,,,414.5,43.6,216.7,375,652.2,138,1700,26
12016,"2012-11-19",,,,,,,,,,,
12016,"2012-11-20",,,,385.0,35.9,250,400,695.7,132.4,1740,22.9
12016,"2013-02-19",,,,408.3,35.9,212.5,350,695.7,67.6,1803.3,20.8
12016,"2013-06-04",,,,421.7,33.3,220.8,350,695.7,87.3,1770.5,21.9
12016,"2013-08-27",,,,315.0,35.9,237.5,375,652.2,84.5,1573.8,24
12016,"2013-11-28",,,,240.0,35.9,254.2,400,695.7,135.2,1786.9,28.1
12046,"1998-06-17",,,,,,,,,1250.1,,
12046,"1998-09-16",,,,,,,,,1500,,
12046,"1998-12-17",,,,,,,,,1301.4,,
12046,"1999-03-16",,,,,,,,,1065.6,,
12046,"1999-06-21",,,,,,,,,1210.7,,
12046,"1999-09-14",,,,,,,,,1093,,
12046,"1999-12-08",,,,,,,,,1208.5,,
12046,"2000-03-07",,,,,,,,,1281.7,,
12046,"2001-04-05",,,,,,,,,1540.8,,
12046,"2001-07-03",,,,,,,,,1453.5,,
12046,"2001-09-27",,,,,,,,,1188.7,,
12046,"2002-01-09",,,,,,,,,1408.5,,
12046,"2002-04-10",,,,,,,,,1622.5,,
12046,"2002-07-02",,,,,,,,,1493,,
12046,"2002-10-23",,,,,,,,,1366.2,,
12046,"2003-01-08",,,,,,,,,1622,,
12046,"2003-04-16",,,,,,,,,2631,,
12046,"2003-07-31",,,,,,,,,1673,,
12046,"2003-10-08",,,,,,,,,1859.2,,
12046,"2004-04-07",,,,,,,,,1604.8,,
12046,"2004-07-27",,,,,,,,,1488.7,,
12048,"1998-06-17",,,,,,,,,800,,
12048,"1998-09-16",,,,,,,,,1450.1,,
12048,"1998-12-17",,,,,,,,,1301.4,,
12048,"1999-03-16",,,,,,,,,1024.5,,
12048,"1999-06-21",,,,,,,,,1297.2,,
12048,"1999-09-14",,,,,,,,,1442.3,,
12048,"1999-12-08",,,,,,,,,1383.1,,
12048,"2001-04-05",,,,,,,,,1585.9,,
12048,"2001-07-04",,,,,,,,,1540.8,,
12048,"2001-09-27",,,,,,,,,1836.6,,
12048,"2002-01-09",,,,,,,,,1628.2,,
12048,"2002-04-10",,,,,,,,,1580.3,,
12048,"2002-07-02",,,,,,,,,1664.8,,
12048,"2002-10-23",,,,,,,,,2540.8,,
12048,"2003-01-08",,,,,,,,,2382.3,,
12048,"2003-10-08",,,,,,,,,487.3,,
12048,"2004-02-04",,,,,,,,,1185.1,,
12048,"2004-04-07",,,,,,,,,1382.8,,
12048,"2004-07-27",,,,,,,,,1709.9,,
12048,"2004-10-05",,,,,,,,,1812.4,,
12048,"2005-01-11",,,,,,,,,1916.1,,
12048,"2005-03-29",,,,,,,,,1698.9,,
12048,"2005-06-22",,,,,,,,,2127.6,,
12048,"2006-01-17",,,,,,,,,2300,,
12048,"2006-03-21",,,,,,,,,2515.5,,
12048,"2006-06-13",,,,,,,,,2335.2,,
12048,"2006-09-25",,,,,,,,,2464.8,,
12048,"2006-12-11",,,,,,,,,2718.3,,
12048,"2007-03-26",,,,,,,,,2636.6,,
12048,"2007-06-18",,,,,,,,,2633.8,,
12048,"2007-09-03",,,,,,,,,149.3,,
12048,"2007-11-26",,,,,,,,,2126.8,,
12048,"2008-05-26",,,,,,,,,121.1,,
12048,"2008-08-18",,,,,,,,,109.9,,
12048,"2008-11-24",,,,,,,,,135.2,,
12048,"2009-03-02",,,,,,,,,270.4,,
12048,"2009-06-08",,,,,,,,,253.5,,
12048,"2009-09-01",,,,,,,,,2416.9,,
12048,"2009-11-30",,,,,,,,,580.3,,
12048,"2010-03-01",,,,,,,,,169,,
12048,"2010-06-14",,,,,,,,,112.7,,
12048,"2010-08-30",,,,,,,,,112.7,,
12048,"2010-11-22",,,,,,,,,140.8,,
12048,"2011-02-14",,,,,,,,,163.4,,
12048,"2011-05-16",,,,,,,,,140.8,,
12048,"2011-08-22",,,,,,,,,107,,
12048,"2011-11-21",,,,,,,,,112.7,,
12048,"2012-02-20",,,,,,,,,127.6,,
12048,"2012-05-21",,,,,,,,,169,,
12048,"2012-08-20",,,,,,,,,284.5,,
12048,"2012-11-19",,,,,,,,,315.5,,
12048,"2013-02-19",,,,,,,,,169,,
12048,"2013-06-04",,,,,,,,,473.2,,
12048,"2013-08-27",,,,,,,,,839.4,,
12048,"2013-11-28",,,,,,,,,363.4,,
12048,"2014-02-20",,,,,,,,,462,,
12048,"2014-06-05",,,,,,,,,152.1,,
12048,"2014-09-04",,,,,,,,,87.3,,
12048,"2014-11-27",,,,,,,,,1583.1,,
12048,"2015-02-26",,,,,,,,,2304.2,,
12048,"2015-06-10",,,,,,,,,2140.8,,
12048,"2015-09-03",,,,,,,,,2552.1,,
12048,"2015-12-03",,,,,,,,,211.3,,
12048,"2016-03-22",,,,,,,,,2107,,
12048,"2016-06-27",,,,,,,,,,,
12048,"2016-06-28",,,,,,,,,112.7,,
12048,"2016-09-20",,,,,,,,,1084.5,,
12048,"2016-12-06",,,,,,,,,2583.1,,
12048,"2017-01-03",,,,,,,,,2501.4,,
12048,"2017-07-04",,,,,,,,,2284.5,,
12048,"2017-09-05",,,,,,,,,,,
12048,"2017-09-07",,,,,,,,,2419.7,,
12048,"2017-11-27",,,,,,,,,,,
12048,"2017-11-29",,,,,,,,,1366.2,,
12048,"2018-01-29",,,,,,,,,,,
12048,"2018-01-30",,,,,,,,,847.9,,
12048,"2018-04-18",,,,,,,,,,,
12048,"2018-04-19",,,,,,,,,2346.5,,
12048,"2018-07-23",,,,,,,,,205.6,,
12048,"2018-10-16",,,,,,,,,,,
12048,"2018-10-17",,,,,,,,,1887.3,,
12048,"2019-02-26",,,,,,,,,,,
12048,"2019-03-04",,,,,,,,,693,,
12048,"2019-05-14",,,,,,,,,,,
12048,"2019-05-15",,,,,,,,,129.6,,
12048,"2019-08-26",,,,,,,,,,,
12048,"2019-08-27",,,,,,,,,140.8,,
