"Code","Date","pH","T (°C)","Cond (µS/cm)","SiO2 (μmol/L)","K (μmol/L)","Mg (μmol/L)","Ca (μmol/L)","Na (μmol/L)","Cl (μmol/L)","HCO3 (μmol/L)","SO4 (μmol/L)","Location"
12003,"2020-01-07",7.081,19.4,246.9,,,,,,,,,"Etang Saint-Paul Source Roche Blanche Tour des Roches"
12003,"2020-02-03",7.043,19.24,249.1,,,,,,,,,"Etang Saint-Paul Source Roche Blanche Tour des Roches"
12003,"2020-03-10",7.026,19.39,263.2,,,,,,,,,"Etang Saint-Paul Source Roche Blanche Tour des Roches"
12003,"2020-06-22",,,,,,,,,,,,"Etang Saint-Paul Source Roche Blanche Tour des Roches"
12003,"2020-09-15",,,,,71.8,395.8,197.5,1304.3,1236.6,1082,68.7,"Etang Saint-Paul Source Roche Blanche Tour des Roches"
12003,"2020-09-16",,,279,,,,,,,,,"Etang Saint-Paul Source Roche Blanche Tour des Roches"
12003,"2020-09-18",,,,441.7,,,,,,,,"Etang Saint-Paul Source Roche Blanche Tour des Roches"
12006,"2020-01-07",7.709,18.17,144.1,,,,,,,,,"Etang Saint-Paul Source Cresson Tour des Roches"
12006,"2020-02-03",7.784,17.98,143.7,,,,,,,,,"Etang Saint-Paul Source Cresson Tour des Roches"
12006,"2020-03-10",7.711,18.3,142.2,,,,,,,,,"Etang Saint-Paul Source Cresson Tour des Roches"
12006,"2020-06-22",,,,,,,,,,,,"Etang Saint-Paul Source Cresson Tour des Roches"
12006,"2020-09-15",,,,,56.4,208.3,155,565.2,374.6,901.6,26,"Etang Saint-Paul Source Cresson Tour des Roches"
12006,"2020-09-16",,,136,,,,,,,,,"Etang Saint-Paul Source Cresson Tour des Roches"
12006,"2020-09-18",,,,373.3,,,,,,,,"Etang Saint-Paul Source Cresson Tour des Roches"
12007,"2020-01-07",7.403,18.77,171.4,,,,,,,,,"Etang Saint-Paul Source Champcourt Tour des Roches"
12007,"2020-02-03",7.523,18.69,324.8,,,,,,,,,"Etang Saint-Paul Source Champcourt Tour des Roches"
12007,"2020-03-10",7.535,18.5,174.42,,,,,,,,,"Etang Saint-Paul Source Champcourt Tour des Roches"
12007,"2020-06-23",,,,,,,,,,,,"Etang Saint-Paul Source Champcourt Tour des Roches"
12007,"2020-09-15",,,,,61.5,312.5,160,1043.5,808.5,934.4,52.1,"Etang Saint-Paul Source Champcourt Tour des Roches"
12007,"2020-09-16",,,217,,,,,,,,,"Etang Saint-Paul Source Champcourt Tour des Roches"
12007,"2020-09-18",,,,448.3,,,,,,,,"Etang Saint-Paul Source Champcourt Tour des Roches"
12153,"1998-02-24",8.1,,,,,,,,,,,"La Rivière des Galets à l'amont du pont métallique (ex RN1)"
12153,"2002-01-24",8,,98,,21.3,128.8,255,337,71.5,,16.2,"La Rivière des Galets à l'amont du pont métallique (ex RN1)"
12275,"2020-01-07",7.37,23.98,187.35,,,,,,,,,"Etang Saint-Paul Ravine Divon Tour des Roches"
12275,"2020-01-08",,,,,,,,,,,,"Etang Saint-Paul Ravine Divon Tour des Roches"
12275,"2020-01-09",,,,,,,,,,,,"Etang Saint-Paul Ravine Divon Tour des Roches"
12275,"2020-01-10",,,,746.7,,,,,,,,"Etang Saint-Paul Ravine Divon Tour des Roches"
12275,"2020-02-03",7.608,24.35,200,,,,,,,,,"Etang Saint-Paul Ravine Divon Tour des Roches"
12275,"2020-03-10",7.505,25.56,189.4,,,,,,,,,"Etang Saint-Paul Ravine Divon Tour des Roches"
13019,"2012-06-04",6.16,18.76,231.9,,,,,,,,,"Source Barrois - Dos d'Ane  "
13034,"2018-10-23",,,102,,7.7,,,,78.9,983.6,17.7,"Sources Remparts - Fougères (Dos D'Ane)"
13034,"2018-10-24",,,,,,245.8,180,278.3,,,,"Sources Remparts - Fougères (Dos D'Ane)"
13034,"2018-10-25",,,,345,,,,,,,,"Sources Remparts - Fougères (Dos D'Ane)"
13093,"2001-01-08",7.72,23,116.9,370.8,24.4,197.9,252.7,417.8,67.9,1080,16.4,"La Rivière des Galets à Ilet Malidé"
13093,"2002-08-27",8.45,20.4,178.5,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2002-10-28",8.92,22.1,185,366.2,27.4,235,331,691.3,75.8,1773.8,29.2,"La Rivière des Galets à Ilet Malidé"
13093,"2003-03-04",7.88,25.4,172.7,,,214.6,328.3,,74.9,,35.6,"La Rivière des Galets à Ilet Malidé"
13093,"2003-06-11",,21,169.3,,,218.3,338.2,,63.1,,27.9,"La Rivière des Galets à Ilet Malidé"
13093,"2003-08-05",9.12,22.5,166.1,,,231.2,343,,81.4,,27.6,"La Rivière des Galets à Ilet Malidé"
13093,"2003-10-29",8.85,23.6,135,,,180.8,270.5,,80.8,,21.2,"La Rivière des Galets à Ilet Malidé"
13093,"2003-12-10",,27.7,164.5,,,196.2,306.2,,87.6,,24.2,"La Rivière des Galets à Ilet Malidé"
13093,"2004-02-04",8.13,24.5,118.7,,,156.2,224.5,,73.5,,22.9,"La Rivière des Galets à Ilet Malidé"
13093,"2004-03-03",8.4,28.3,159.8,,,211.7,322.5,,70.7,,24.2,"La Rivière des Galets à Ilet Malidé"
13093,"2004-04-20",8.85,24.2,158,,,224.6,335.2,,82.3,,23.4,"La Rivière des Galets à Ilet Malidé"
13093,"2004-09-21",9.31,21.9,157.7,,,238.8,349,,80,,18.1,"La Rivière des Galets à Ilet Malidé"
13093,"2004-11-23",9.94,27.9,,,,239.6,362,,89,,22.7,"La Rivière des Galets à Ilet Malidé"
13093,"2005-02-02",8.76,27,167,,,202.1,327,,71.8,,20.4,"La Rivière des Galets à Ilet Malidé"
13093,"2005-05-25",,21.5,175.8,,,252.9,375,,76.9,,23.9,"La Rivière des Galets à Ilet Malidé"
13093,"2005-08-02",9.21,21,161.1,,,252.5,365.5,,81.4,,22.5,"La Rivière des Galets à Ilet Malidé"
13093,"2005-11-08",9.6,24,159.9,,,242.9,342.8,,92.1,,22.1,"La Rivière des Galets à Ilet Malidé"
13093,"2006-02-07",8.8,26.1,171,,,250,350,,67.6,,,"La Rivière des Galets à Ilet Malidé"
13093,"2006-05-31",8.54,22.8,173.6,,,250,375,,81.7,,25,"La Rivière des Galets à Ilet Malidé"
13093,"2006-09-05",9.14,21.5,163.1,,,233.3,325,,81.7,,,"La Rivière des Galets à Ilet Malidé"
13093,"2006-11-15",9.21,22.8,159.4,,23.1,262.5,350,521.7,78.9,,,"La Rivière des Galets à Ilet Malidé"
13093,"2007-02-22",8.06,22.6,94,,20.5,112.5,192.5,352.2,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2007-05-23",8.7,24.1,160,628.3,30.8,225,325,652.2,76.1,,,"La Rivière des Galets à Ilet Malidé"
13093,"2007-08-01",8.63,21.3,171.1,306.7,28.2,229.2,325,695.7,87.3,,,"La Rivière des Galets à Ilet Malidé"
13093,"2007-10-04",9.57,23,165.9,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2007-11-14",8.9,22.7,172.8,883.3,30.8,245.8,325,695.7,101.4,,21.9,"La Rivière des Galets à Ilet Malidé"
13093,"2008-02-19",8.22,24.9,152.7,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2008-02-20",,,,478.3,27.7,202.1,298.7,556.5,,1492,,"La Rivière des Galets à Ilet Malidé"
13093,"2008-04-09",8.6,24.7,169.1,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2008-04-10",,,,404.2,29.5,240,358.2,718.3,69,1680,21.8,"La Rivière des Galets à Ilet Malidé"
13093,"2008-06-11",7.9,18.1,162.3,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2008-06-12",,,,280,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2008-07-23",9.42,19.7,165.1,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2008-07-24",,,,392,25.9,246.2,343,635.2,82.8,1672,21.9,"La Rivière des Galets à Ilet Malidé"
13093,"2008-09-01",8.83,18,171.4,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2008-09-02",,,,248.3,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2008-11-05",9.19,23.9,169.5,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2008-11-06",,,,349.8,28.5,243.8,336.2,654.8,83.4,1480,20.9,"La Rivière des Galets à Ilet Malidé"
13093,"2009-01-28",8.97,27.6,162.9,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2009-01-29",,,,408.7,30.8,220.8,345,700,56.9,1238,22.4,"La Rivière des Galets à Ilet Malidé"
13093,"2009-04-29",8.65,23.9,176.3,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2009-04-30",,,,486.7,33.3,240.4,355,695.7,64.2,1604,22.7,"La Rivière des Galets à Ilet Malidé"
13093,"2009-05-27",8.25,19.6,174.8,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2009-05-28",,,,446.7,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2009-08-05",9.68,21.2,166.8,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2009-09-02",8.8,19.8,173.3,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2009-09-03",,,,162.7,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2009-11-04",9.97,29.8,171.8,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2009-11-05",,,,270.3,33.3,240.8,345.5,647.4,84.5,462,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-02-10",8.32,25.4,156.3,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-02-11",,,,471.7,32.3,219.2,338.5,669.1,,1554,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-03-22",8.2,23.5,165,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-04-19",8.25,22.5,168,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-05-10",8.24,22.6,175,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-05-19",8.73,24.38,188.4,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-05-20",,,,402.3,34.2,265.6,359.5,710,62.1,1590,21.6,"La Rivière des Galets à Ilet Malidé"
13093,"2010-06-02",8.85,23.37,172.2,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-06-03",,,,414.5,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-06-07",8.31,19.83,154,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-07-06",9.02,21.2,155,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-08-03",9.14,21.64,148.4,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-08-04",,,,335,26.4,210,293.7,545.5,69.6,792,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-09-01",9.06,21.37,144,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-09-02",,,,286.7,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-09-06",7.51,25.75,150,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-11-03",9.59,24.85,167.8,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-11-04",,,,270,33.1,246.7,349.8,563.9,88.7,460,,"La Rivière des Galets à Ilet Malidé"
13093,"2010-11-22",,26.23,183,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2011-01-10",8.51,23.36,148,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2011-01-19",9.3,28.47,158.7,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2011-01-20",,,,328.3,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2011-03-07",8.29,27.83,175,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
13093,"2011-04-27",9.01,25.5,151.3,,,,,,,,,"La Rivière des Galets à Ilet Malidé"
